episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation,year
50.0,1/1/2002 0:00,Star TV,1,Beşik Kertmesi,trt,Meltem Cumbul,Olgun Şimşek,Erdal Özyağcılar,tayfun güneyer,tayfun güneyer,kazım koyuncu,Comedy,Drama,aslı öyken taylan,20,0.0,2002
50.0,12/13/2002,Kanal D,1,Gülbeyaz,eryapım,Şevval Sam,Nejat İşler,Meral Çetinkaya,"rüya i̇şçileri,meriç demiray,cenk bogatur,cem görgeç,barış erdoğan",özer kiziltan,kazım koyuncu,Comedy,Romantic,bahadır atay,20,0.0,2002
45.0,1/1/2002 0:00,Kanal D,1,Biz Size Aşık Olduk,most production,Beyazıt Öztürk,Meltem Cumbul,İlker Aksum,"selin tunç ,nilgün önes",türkan derya,kıraç,Comedy,Drama,mustafa oğuz,20,0.0,2002
55.0,1/1/2002 0:00,Star TV,1,Efsane,replik film,Şemsi İnkaya,Tardu Flordun,Ayşe Tolga,tayfun güneyer,tunç başaran,kıraç,Crime,Action & Adventure,Unknown,20,0.0,2002
90.0,9/26/2002 0:00,atv,2,Zerda,tmc,Hulya Sen,Ece Uslu,Yavuz Bingöl,"gaye boralıoğlu,neşe cehiz",kudret sabancı,kıraç,Drama,Romantic,erol avcı,20.3,0.0,2002
40.0,1/1/2001 0:00,Kanal D,1,Çifte Bela,tmc,Mumtaz Sevinc,Nadide Sultan,Ayşe Tolga,kasim uçkan,kasım uçkan,burak gülgen,Comedy,Family,aslı öyken taylan,20,0.0,2001
98.0,1/1/2001 0:00,atv,1,Hırsız,tmc,Betul Sahin,Mehmet Aslantuğ,Müjdat Gezen,"yılmaz okumuş , fatih çöngevel",veli çelik,burak gülgen,Drama,Action & Adventure,tansu şahin,20,0.0,2001
90.0,2/27/2001,Kanal D,2,Vay Anam Vay,d productions,Nevra Serezli,Atilla Olgaç,Sıdıka Şenocak,"gani müjde,caner güler,uğur yağcıoğlu",erdoğan engin,güliz asyalı,Komedi,No second genre,abdullah oğuz,20,0.0,2001
60.0,5/24/2001 0:00,TRT 1,1,Yeditepe İstanbul,d productions,Zuhal Olcay,Emre Kınay,Uğur Polat,ali ulvi hünkar,türkan derya,derya köroğlu,Drama,Family,kaan erturan,20,0.0,2001
60.0,11/1/2001 0:00,Show TV,3,Tatlı Hayat,med yapım,Haluk Bilginer,Türkan Şoray,Asuman Dabak,"bora tekay ,haluk özenç",bora tekay,ali otyam,Family,Comedy,sibel tuna,20,1.0,2001
45.0,3/1/2000,Show TV,2,Zehirli Çiçek,erler film,Tuğba Özay,Çağla Şıkel,Aysun Kayacı,safa önal,samim deger,ali otyam,Drama,Action & Adventure,türker i̇nanoğlu,20,0.0,2000
40.0,3/22/2000,Kanal D,2,Eyvah Kızım Büyüdü,ans production,Haluk Bilginer,Yıldız Asyalı,Alp Öyken,tayfun güneyer,orhan cesur,ali otyam,Comedy,No second genre,"zeynep güzeldogu, akin knob, abdullah oguz",20,0.0,2000
