episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation
110,3/26/2013 0:00,FOX,2,Bir Aşk Hikayesi,MF Yapım,Seçkin Özdemir,Damla Sönmez,Yamaç Telli,"Makbule Kosif, Funda Çetin, Pınar Uysal, Zehra Güleray,",Barış Yöş,,Drama,Romantic,"Faruk Bayhan, Fatih Aksoy",20,1
90,1/24/2013 0:00,Show TV,1,Bebek İşi,Limon Film,Timur Acar,Nurgül Yeşilçay,Nevra Serezli,Murat Gürvardar,Hayri Aslan,,Comedy,Family,Hayri Aslan,16,0
90,1/4/2013 0:00,Kanal D,2,İntikam,"Disney Türkiye,In D House",Beren Saat,Yiğit Özşener,Mert Fırat,"Berkun Oya, Nuran Evren Şit Erdik","Mesude Eraslan,  ",,Drama,Action & Adventure,Mesude Erarslan,20,1
110,1/1/2013 0:00,TRT 1,3,Beni Böyle Sev,BSK Yapım,Alper Saldıran,Zeynep Çamcı,Burcu Altın,"Hakan Haksun ,Müjdan Kayserli ,Mert Meriçli ,Deniz Büyükkırlı ,","Cem Tabak ,","Günay Ünsal,",Family,Drama,Çağrı Bingüller,20,0
90,1/1/2013 0:00,Star TV,1,20 Dakika,Ay Yapım,İlker Aksum,Tuba Büyüküstün,Firat Celik,"Kerem Deren, Pınar Bulut",        Ali Bilgin,,Action & Adventure,Drama,Kerem Çatay,20,0
130,10/8/2012 0:00,atv,3,Karadayı,Ay Yapım,Kenan İmirzalıoğlu,Bergüzar Korel,Çetin Tekindor,"Sema Ergenekon ,Eylem Canpolat ,","Uluç Bayraktar ,","Toygar Işıklı ,",Family,Action & Adventure,Kerem Çatay,20,0
90,9/29/2012 0:00,atv,1,Alev Alev,Erler Film,İlker İnanoğlu,Rojda Demirer,Berk Oktay,"Mahinur Ergun ,","Mahinur Ergun ,",,Drama,Soap,Türker İnanoğlu,20,0
120,9/21/2012 0:00,TRT 1,2,Böyle Bitmesin,AT Yapım,Yeliz Kuvancı,Nergis Öztürk,Cemal Toktas,"Atalay Taşdiken,","Emre Kabakuşak,",,Comedy,Drama,Atalay Taşdiken,16.35,0
90,9/14/2012 0:00,TRT 1,1,Şubat,EFLATUN FILM,Damla Sönmez,Hande Doğandemir,Melisa Sözen,"Funda Alp, Onur Ünlü,",Volkan Kocatürk,Ayşe Önder,Mystery,Crime,Onur Ünlü,20,0
90,8/1/2012 0:00,Star TV,1,Evlerden Biri,Koliba Film,Özgür Çevik,Ceyda Ateş,Barış Aytaç,"Hakan Haksun, Müjdan Kayserli","Bahadır İnce ,",,Drama,,Ata Türkoğlu,,1
86,6/28/2012 0:00,Star TV,1,İşler Güçler,Limon Film,Ahmet Kural,Murat Cemcir,Sadi Celil Cengiz,"Selçuk Aydemir, Osman Edip Tekin, Onay Durgun",Selçuk Aydemir,Tolga Çebi,Comedy,,Selçuk Aydemir,22.3,0
35,4/13/2012 0:00,Star TV,1,Acayip Hikayeler,Acayip Medya,Hayko Cepkin,,,"Galip Tekin,Seyfi Şahin","Yunus Nihat Özcan ,","Emre Irmak, Kalan Müzik, Mayki",Mystery,Sci-Fi & Fantasy,Galip Tekin,24,0
90,3/1/2012 0:00,Show TV,2,Suskunlar,Tims Productions,Sarp Akkaya,Aslı Enver,Murat Yıldırım,"Pınar Bulut,Anıl Eke","Çağrı Vila Lostuvalı,",Aytekin Ataş,Action & Adventure,Drama,Timur Savcı,20,1
90,2/19/2012 0:00,ATV,2,Uçurum,Süreç Film,Lavigna Longhi,Denise Capezze,Selçuk Yöntem,Kerem Deren,Ali Bilgin,Alp Yenier,Drama,Crime,"Ali Gündoğdu,İnci Gündoğdu",20,0
60,1/24/2012 0:00,TRT 1,7,Seksenler,MinT Production,Rasim Öztekin,Özlem Türkad,Soray Uzun,"Murat Aras ,","Bora Tekay ,","Aydın Sarman,Burcu Güven",Comedy,Family,Birol Güven,19.5,0
120,1/13/2012 0:00,Kanal D,4,Yalan Dünya,D Productions,Altan Erkekli,Füsun Demirel,Olgun Şimşek,"Gülse Birsel ,","Jale Atabey Özberk ,","Nil Karaibrahimgil ,",Family,Comedy,Gülse Birsel,20,0
140,11/8/2011 0:00,atv,2,Hayat Devam Ediyor,Boyut Film,Fikret Kuşkan,Şenay Gürler,Menderes Samancılar,Mahsun Kırmızıgül,"Mahsun Kırmızıgül,",Mahsun Kırmızıgül,Drama,Family,Murat Tokat,20,0
105,9/17/2011 0:00,Star TV,2,İffet,Gold Film,Deniz Çakır,İbrahim Çelikkol,Zuhal Olcay,"Can Sinan ,Zehra Güleray ,","Faruk Teber ,","Mehmet Andiçen ,Barış Aryay ,",Drama,,Zülküf Yücel,20,1
90,9/9/2011 0:00,Kanal D,1,Bir Çocuk Sevdim,TMC,Çetin Tekindor,Gülcan Arslan,Hakan Kurtaş,"Gaye Boralıoğlu, Sema Ali Erol, Figen Şakacı, Emine Algan, Ümit Kıvanç",Cevdet Mercan,"Mehmet Cem Tuncer,Nail Yurtsever",Drama,Family,Timur Savcı,,0
90,9/8/2011 0:00,Kanal D,2,Fatmagül'ün Suçu Ne?,Ay Yapım,Beren Saat,Engin Akyurek,Firat Celik,"Ece Yörenç,Melek Gençoğlu",Hilal Saral,Toygar Işıklı,Drama,,Vedat Türkali,20,1
80,4/5/2011 0:00,Kanal D,1,Üsküdar'a Giderken,,Tülin Özen,Murat Cemcir,Erkan Can,"Selçuk Aydemir ,","Selçuk Aydemir ,",Kerem Cakiroglu,Comedy,,Selçuk Aydemir,,0
85,2/9/2011 0:00,TRT 1,3,Leyla ile Mecnun,EFLATUN FILM,Ali Atay,Serkan Keskin,Ahmet Mümtaz Taylan,"Burak Aksak ,","Onur Ünlü ,",Mehmet Erdem,Comedy,Drama,Onur Ünlü,22,0
120,1/14/2011 0:00,Show TV,2,Adını Feriha Koydum,Med Yapım,Hazal Kaya,Çağatay Ulusoy,Vahide Percin,"Melis Civelek, Sırma Yanık,","Merve Girgin , ","Nail Yurtsever, Cem Tuncer,",Drama,Romantic,Fatih Aksoy,20,0
90,1/6/2011 0:00,Show TV,4,Muhteşem Yüzyıl,Tims Productions,Halit Ergenç,Meryem Uzerli,Nur Fettahoglu,"Meral Okay , Yılmaz Şahin","Taylan Biraderler, ","Fahir Atakoğlu, Aytekin Ataş, Soner Akalın",Drama,History,Timur Savcı,20,0
90,1/6/2011 0:00,Kanal D,1,Şüphe,D Productions,Selin Demiratar,Serkan Altunorak,Ismail Hacioglu,"Hürer Ebeoglu, Zülküf Yücel","Abdullah Oğuz ,",,Crime,Drama,Tarkan Karlıdağ,,0
75,9/19/2010 0:00,Star TV,4,Behzat Ç.: Bir Ankara Polisiyesi,"Inter Medya,Adam Film",Erdal Beşikçioğlu,Güven Kıraç,Nejat İşler,Ercan Mehmet Erdem,"Serdar Akar ,",Pilli Bebek,Drama,War & Politics,Emrah Serbes,20,0
100,9/17/2010 0:00,Kanal D,3,Öyle Bir Geçer Zaman Ki,D Productions,Ayça Bingöl,Erkan Petekkaya,Aras Bulut İynemli,"Coşkun Irmak ,","Zeynep Günay Tan ,","Mehmet Cem Tuncer,",Drama,Family,Zeynep Günay Tan,20,0
91,9/14/2010 0:00,FOX,4,Lale Devri,Avşar Film,Tolgahan Sayışman,Selen Soyder,Kenan Bal,"Şebnem Çıtak ,Eylem Canpolat ,Sema Ergenekon ,Banu Tekcan ,Devrim Yıldız Özdemir ,","Murat Düzgünoğlu ,","İskender Paydaş,",Drama,,Şükrü Avşar,20,0
90,7/16/2010 0:00,atv,2,Yahşi Cazibe,Süreç Film,Hakan Yılmaz,Aslıhan Gürbüz,Gökçe Özyol,"Gani Müjde ,Özlem Aybek ,Emre Bülbül ,","Bora Onur ,","Kadıköy Acil, Ropozof",Family,Comedy,Gani Müjde,20,0
75,7/8/2010 0:00,Kanal D,3,Kanıt,ANS Production,Sevil Atasoy,Ece Güzel,Engin Benli,"Ahmet Saatçioğlu,","Biray Dalkıran,","Cem Yildiz, Cenk Sanlioğlu",Action,Crime,Abdullah Oğuz,23,0
90,1/5/2010 0:00,atv,2,Aşk ve Ceza,TMC,Tomris İncer,Murat Yıldırım,Nurgül Yeşilçay,"Mehmet Bilal, Murat Lütfü, Yildiz Tunç, Ethem Yekta","Osman Albayrak,",Kiraç,Drama,Romantic,Tomris Giritlioğlu,20,0
70,10/13/2009 0:00,Show TV,1,Bu Kalp Seni Unutur Mu?,aSis Yapım,Berrak Tüzünataç,Engin Hepileri,Okan Yalabık,"Nilgün Önes ,","Aydın Bulut ,",Irsad Aydin,Drama,War & Politics,Tomris Giritlioğlu,20,0
